# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.failedExecutionsCount,1742024986478000000,1742025046472000000,0
FlushQueue.executionTimeAvgNs,1742024986478000000,1742025046472000000,0.0
ReadAction.executionsCount,1742024986478000000,1742025046472000000,804
AWTEventQueue.dispatchTimeAvgNs,1742024986478000000,1742025046472000000,0.0
FlushQueue.queueSize90P,1742024986478000000,1742025046472000000,0
FlushQueue.tasksExecuted,1742024986478000000,1742025046472000000,0
FlushQueue.executionTime90PNs,1742024986478000000,1742025046472000000,0
WriteAction.executionsCount,1742024986478000000,1742025046472000000,0
FlushQueue.queueSizeMax,1742024986478000000,1742025046472000000,0
FlushQueue.executionTimeMaxNs,1742024986478000000,1742025046472000000,0
AWTEventQueue.dispatchTimeMaxNs,1742024986478000000,1742025046472000000,0
NonBlockingReadAction.failedExecutionTimeUs,1742024986478000000,1742025046472000000,0
FlushQueue.waitingTime90PNs,1742024986478000000,1742025046472000000,0
FlushQueue.waitingTimeMaxNs,1742024986478000000,1742025046472000000,0
workspaceModel.updates.precise.ms,1742024986478000000,1742025046472000000,21
workspaceModel.updates.ms,1742024986478000000,1742025046472000000,46
workspaceModel.to.snapshot.ms,1742024986478000000,1742025046472000000,1
workspaceModel.updates.count,1742024986478000000,1742025046472000000,3
workspaceModel.loading.total.ms,1742024986478000000,1742025046472000000,285
workspaceModel.init.bridges.ms,1742024986478000000,1742025046472000000,1
workspaceModel.update.unloaded.entities.ms,1742024986478000000,1742025046472000000,0
workspaceModel.initializing.ms,1742024986478000000,1742025046472000000,1
workspaceModel.pre.handlers.ms,1742024986478000000,1742025046472000000,0
workspaceModel.loading.from.cache.ms,1742024986478000000,1742025046472000000,263
workspaceModel.replace.project.model.ms,1742024986478000000,1742025046472000000,0
workspaceModel.check.recursive.update.ms,1742024986478000000,1742025046472000000,0
workspaceModel.collect.changes.ms,1742024986478000000,1742025046472000000,0
jps.app.storage.content.reader.load.component.ms,1742024986478000000,1742025046472000000,0
workspaceModel.sync.entities.ms,1742024986478000000,1742025046472000000,0
jps.library.entities.serializer.save.entities.ms,1742024986478000000,1742025046472000000,0
jps.global.initialize.library.bridges.ms,1742024986478000000,1742025046472000000,0
workspaceModel.save.cache.to.file.ms,1742024986478000000,1742025046472000000,52
workspaceModel.moduleBridge.facet.initialization.ms,1742024986478000000,1742025046472000000,0
jps.reload.project.entities.ms,1742024986478000000,1742025046472000000,0
jps.global.get.libraries.ms,1742024986478000000,1742025046472000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1742024986478000000,1742025046472000000,1
workspaceModel.mutableEntityStorage.has.same.entities.ms,1742024986478000000,1742025046472000000,0
workspaceModel.mutableEntityStorage.entities.ms,1742024986478000000,1742025046472000000,7
jps.module.iml.entities.serializer.save.entities.ms,1742024986478000000,1742025046472000000,0
workspaceModel.global.updates.count,1742024986478000000,1742025046472000000,0
jps.load.project.to.empty.storage.ms,1742024986478000000,1742025046472000000,65
jps.global.handle.changed.events.ms,1742024986478000000,1742025046472000000,0
